C1	C2	IL8_1	IL8_2
ENSMUSG00000041439	17.4270648721688	11.2977116967889	42.6469329491686	43.4834326169741
ENSMUSG00000026102	163.453849835514	184.529291047551	969.248476117469	841.132649684593
ENSMUSG00000041426	253.593840553629	244.783753430425	210.650002142863	184.80458862214
ENSMUSG00000026098	93.1446570753851	98.8549773469025	59.4472398685381	62.5074343869003
ENSMUSG00000026097	109.369855404646	109.211213068959	107.263498023667	141.321156005166
ENSMUSG00000026096	102.759589418651	98.8549773469025	113.725154531116	134.526869658764
ENSMUSG00000026095	67.905459674313	67.7862701807331	43.9392642506586	66.5840061947416
ENSMUSG00000026094	4335.13262026986	4539.79715015965	1404.76412471959	1099.31553084788
ENSMUSG00000042807	347.339430900468	353.053490524652	205.480676936903	232.364593046955
ENSMUSG00000041303	528.821278879606	543.231637420597	606.103380398791	528.595477750092
ENSMUSG00000073678	144.223985148983	152.51910790665	96.9248476117469	84.2491506953874
ENSMUSG00000052331	216.335977723475	217.480950163185	330.836813181429	251.388594816882
ENSMUSG00000025982	4144.03583994746	4086.94720631337	4919.90526477227	5231.6004867297
ENSMUSG00000025981	350.945030529193	370.000058069835	506.593870184064	394.068608091328
ENSMUSG00000025980	2529.3281395503	2423.35915896121	1933.32762702898	1963.54875411024
ENSMUSG00000073676	914.019505881682	965.012874100714	771.521786989505	842.491506953874
ENSMUSG00000025979	735.542324259815	794.605722674149	736.628841849276	735.141782680719
ENSMUSG00000025978	621.965935954991	650.559898540091	218.403989951803	199.752018584225
ENSMUSG00000097649	121.388520833728	104.503833195297	46.5239268536385	43.4834326169741
ENSMUSG00000046994	202.514512480031	178.880435199157	85.2938658983373	85.6080079646678
ENSMUSG00000100215	377.987027744627	338.931350903666	399.330372160397	468.805757901752
ENSMUSG00000038349	140.618385520259	135.572540361466	50.4009207581084	43.4834326169741
ENSMUSG00000038331	106.365189047375	105.445309170029	80.1245406923774	108.708581542435
ENSMUSG00000038323	161.651050021152	150.636155957185	84.0015345968473	89.6845797725091
ENSMUSG00000048495	91.3418572610228	92.2646455237756	103.386504119197	91.0434370417896
ENSMUSG00000025971	129.801586634085	113.918592942621	142.156443163895	134.526869658764
ENSMUSG00000038305	516.20168017907	541.348685471133	91.7555224057871	99.1965806574722
ENSMUSG00000054770	228.354643152557	208.066190415861	226.157977760743	211.981734007749
ENSMUSG00000026039	115.379188119187	128.982208538339	41.3546016476787	43.4834326169741
ENSMUSG00000063558	1112.92841873299	1047.86275987717	1142.42087051712	1110.18638900212
ENSMUSG00000103839	28.8447970297967	35.7760870398314	41.3546016476787	47.5600044248154
ENSMUSG00000051223	2406.73775217366	2413.00292323915	2311.98069836554	2261.13849608265
ENSMUSG00000026034	1613.50583385425	1696.53970646779	2277.08775322531	2028.7739030357
ENSMUSG00000026035	171.265982364418	173.231579350762	208.065339539883	182.086874083579
ENSMUSG00000026036	264.410639439803	268.320652798735	204.188345635413	190.240017699262
ENSMUSG00000026037	310.682501341768	311.628547636426	317.91350016653	284.001169279612
ENSMUSG00000038174	327.508632942483	307.862643737496	334.713807085899	278.56574020249
ENSMUSG00000026032	345.536631086106	357.760870398314	283.020555026301	271.771453856088
ENSMUSG00000026031	1488.5117133918	1592.97734924723	2686.75677579762	2531.55109266946
ENSMUSG00000026029	232.561176052736	234.427517708369	258.466260297992	255.465166624723
ENSMUSG00000026028	853.926178736272	836.030665562375	943.40185008767	904.998941340774
ENSMUSG00000026027	186.28931415077	180.763387148622	124.063804943036	148.115442351568
ENSMUSG00000038079	314.288100970493	358.702346373046	347.637120100799	387.274321744926
ENSMUSG00000026024	477.741950806007	469.79651139147	535.025158816843	547.619479520018
ENSMUSG00000026023	81.1259916463031	95.0890734479728	21.9696321253293	17.6651445006457
ENSMUSG00000041075	725.326458645095	704.224029099839	1655.47639720864	1626.55215132869
ENSMUSG00000026021	1157.39748082059	1227.68467105106	1126.91289489924	1202.58868331319
ENSMUSG00000026020	906.808306624233	1096.81951056325	799.953075622284	716.117780910793
